index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
3082,2,1,Y,9,5,2012,1,1,1710,-77.01286973,38.91022184,NW,585000,20001,5
3083,2,0,Y,6,4,2012,1,0,1388,-77.01281051,38.90982836,NW,440000,20001,5
3084,2,1,Y,6,4,2005,1,1,1805,-77.01280275,38.91093927,NW,379000,20001,5
3085,1,1,N,6,2,2008,1,1,1900,-77.01292958,38.91094493,NW,245000,20001,5
3086,2,1,N,6,5,2008,1,0,1698,-77.01286725,38.91052704,NW,275000,20001,5
3087,1,1,Y,7,3,2003,1,1,1710,-77.01300145,38.91052739,NW,191500,20001,5
3088,2,1,Y,8,2,2015,1,0,1350,-77.01315411,38.91052845,NW,699900,20001,5
3089,2,1,Y,6,3,2017,1,0,900,-77.01492319,38.90912348,NW,610000,20001,5
3090,2,1,Y,6,3,2013,1,0,900,-77.01492297,38.90915519,NW,505000,20001,5
3091,2,1,Y,6,2,2015,1,0,900,-77.01492229,38.9091869,NW,649997,20001,5
3092,1,0,N,6,2,2001,1,0,900,-77.01492206,38.90921869,NW,40000,20001,5
3093,2,1,Y,5,2,2008,1,1,1264,-77.01419724,38.90944967,NW,303000,20001,5
3094,3,1,Y,6,4,2015,2,2,1224,-77.01491182,38.90929184,NW,875000,20001,5
3095,2,1,Y,10,3,2005,1,1,1736,-77.01767624,38.91233934,NW,600000,20001,6
3096,2,1,Y,10,3,2002,1,0,1736,-77.01762455,38.91219594,NW,365500,20001,6
3097,3,1,Y,7,3,2011,1,0,656,-77.00079533,38.87896063,SE,771195,20003,6
3098,3,1,Y,8,4,2011,1,0,738,-77.00078899,38.8789118,SE,853070,20003,6
3099,3,1,Y,8,4,2012,1,0,738,-77.00078968,38.87886397,SE,825000,20003,6
3100,3,1,Y,8,4,2011,1,0,738,-77.00079037,38.87881406,SE,825340,20003,6
3101,3,1,Y,7,4,2015,1,0,656,-77.00079452,38.8787674,SE,965000,20003,6
3102,3,1,Y,7,3,2011,1,0,656,-77.00079452,38.87872127,SE,732570,20003,6
3103,3,1,Y,8,4,2011,1,0,738,-77.00079244,38.87867677,SE,896010,20003,6
3104,3,0,Y,6,4,2011,1,0,528,-77.00079244,38.87863344,SE,545425,20003,6
3105,1,1,Y,6,2,2013,1,0,766,-77.00088164,38.87856372,SE,249000,20003,6
3106,3,1,Y,8,4,2011,1,0,747,-77.00094411,38.87856426,SE,867910,20003,6
3107,3,1,Y,8,4,2011,1,0,747,-77.00100876,38.87856588,SE,825065,20003,6
3108,3,1,Y,8,4,2011,1,0,747,-77.0010741,38.87856921,SE,801880,20003,6
3109,3,1,Y,8,4,2017,1,0,865,-77.00114291,38.87856813,SE,1200000,20003,6
3110,3,1,Y,8,4,2015,1,0,825,-77.0011466,38.87893387,SE,1115000,20003,6
3111,3,1,Y,7,3,2012,1,0,667,-77.00108103,38.87892855,SE,699930,20003,6
3112,3,1,Y,7,3,2016,1,0,667,-77.00108506,38.8787265,SE,900023,20003,6
3113,3,1,Y,8,4,2012,1,0,825,-77.00114798,38.87872758,SE,893350,20003,6
